Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
HE_Gyr_Y_dom_freq,HE,Gyr,Y_dom_freq,1.107556,1.073885,0.333333,6.333333,0.666667,1.206897,1.235756,0.666667,29,1.143246,1.119191,0.666667,612,0.880734,0.673610,0.666667,109
HE_Gyr_Y_spec_centroid,HE,Gyr,Y_spec_centroid,5.805329,1.667831,0.000000,12.168451,5.651423,5.745795,1.818618,5.616579,29,5.818582,1.671273,5.632845,612,5.746756,1.620633,5.805913,109
HE_Gyr_Y_spec_power,HE,Gyr,Y_spec_power,18.750383,21.699988,0.000000,172.537959,10.994913,23.296140,26.562448,16.329099,29,18.651256,21.692270,10.533290,612,18.097527,20.362429,12.585840,109
HE_Gyr_Z_mean,HE,Gyr,Z_mean,0.007758,0.189281,-0.890810,0.721444,0.007866,0.198837,0.194665,0.200224,29,-0.016504,0.169591,-0.005373,612,0.093143,0.235441,0.106333,109
HE_Gyr_Z_std,HE,Gyr,Z_std,0.204434,0.104298,0.000000,0.937947,0.182896,0.273043,0.094347,0.267488,29,0.187680,0.088435,0.169165,612,0.280251,0.142241,0.239322,109
HE_Gyr_Z_rms,HE,Gyr,Z_rms,0.259908,0.144818,0.000000,0.999028,0.227983,0.371630,0.148047,0.359275,29,0.237144,0.125726,0.212395,612,0.358001,0.185304,0.318939,109
HE_Gyr_Z_dom_freq,HE,Gyr,Z_dom_freq,0.795556,0.734819,0.333333,4.666667,0.666667,0.563218,0.253600,0.666667,29,0.844227,0.793035,0.666667,612,0.584098,0.311494,0.333333,109
HE_Gyr_Z_spec_centroid,HE,Gyr,Z_spec_centroid,5.585066,1.744283,0.000000,12.170365,5.377144,5.040261,1.586431,4.719700,29,5.691633,1.711563,5.489955,612,5.131679,1.877061,4.837210,109
HE_Gyr_Z_spec_power,HE,Gyr,Z_spec_power,15.903036,20.604017,0.000000,265.694146,10.102637,25.111354,17.875797,21.608973,29,12.996097,13.684698,8.642658,612,29.774643,39.204508,17.297776,109
LB_Acc_X_mean,LB,Acc,X_mean,9.374320,0.464055,7.152136,9.991224,9.497056,9.473356,0.457667,9.602820,29,9.337763,0.456662,9.433040,612,9.553227,0.465682,9.709192,109
